           3( 30 %)      1 0_168
           2( 20 %)      2 0_336
           2( 20 %)      3 0_504
           8( 80 %)      4 0_672
           6( 60 %)      5 0_840
           2( 20 %)      6 1_0
           1( 10 %)      7 2_0
           8( 80 %)      8 2_1
           5( 50 %)      9 2_2
           2( 20 %)     10 3_48
           8( 80 %)     11 3_72
           6( 60 %)     12 3_96
           6( 60 %)     13 3_120
           8( 80 %)     14 3_144
           1( 10 %)     15 4_0
           1( 10 %)     16 5_0
           2( 20 %)     17 5_1
          10(100 %)     18 5_2
           0(  0 %)     19 6_13
           0(  0 %)     20 6_14
           0(  0 %)     21 6_15
           0(  0 %)     22 6_16
           0(  0 %)     23 6_17
           0(  0 %)     24 6_18
           0(  0 %)     25 6_19
           1( 10 %)     26 6_20
           6( 60 %)     27 6_21
           9( 90 %)     28 6_22
           4( 40 %)     29 6_23
           8( 80 %)     30 6_24
           5( 50 %)     31 6_25
           1( 10 %)     32 6_26
           0(  0 %)     33 6_27
           0(  0 %)     34 6_28
           0(  0 %)     35 6_29
           0(  0 %)     36 6_30
           1( 10 %)     37 6_31
           0(  0 %)     38 6_32
           0(  0 %)     39 6_33
           0(  0 %)     40 6_34
           0(  0 %)     41 6_35
           1( 10 %)     42 6_36
           0(  0 %)     43 6_37
           1( 10 %)     44 6_38
           0(  0 %)     45 6_39
           0(  0 %)     46 6_40
           0(  0 %)     47 6_41
           0(  0 %)     48 6_42
           0(  0 %)     49 6_43
           8( 80 %)     50 6_44
          10(100 %)     51 6_45
           9( 90 %)     52 6_46
           7( 70 %)     53 6_47
           2( 20 %)     54 6_48
           1( 10 %)     55 6_49
           0(  0 %)     56 6_50
           1( 10 %)     57 6_51
           0(  0 %)     58 6_52
           1( 10 %)     59 6_53
           0(  0 %)     60 6_54
           0(  0 %)     61 6_55
           0(  0 %)     62 6_56
           0(  0 %)     63 6_57
           0(  0 %)     64 6_58
           0(  0 %)     65 6_59
           0(  0 %)     66 6_60
           0(  0 %)     67 7_0
           1( 10 %)     68 7_1
           0(  0 %)     69 8_0
           0(  0 %)     70 8_1
           0(  0 %)     71 9_0
           0(  0 %)     72 9_1
           1( 10 %)     73 10_0

