           0(  0 %)      1 0_168
           1( 10 %)      2 0_336
           0(  0 %)      3 0_504
           1( 10 %)      4 0_672
           0(  0 %)      5 0_840
           1( 10 %)      6 1_0
           0(  0 %)      7 2_0
           0(  0 %)      8 2_1
           0(  0 %)      9 2_2
           2( 20 %)     10 3_48
           0(  0 %)     11 3_72
           1( 10 %)     12 3_96
           0(  0 %)     13 3_120
           2( 20 %)     14 3_144
           0(  0 %)     15 4_0
           1( 10 %)     16 5_0
           2( 20 %)     17 5_1
           1( 10 %)     18 5_2
           3( 30 %)     19 6_31
           1( 10 %)     20 6_32
           1( 10 %)     21 6_33
           2( 20 %)     22 6_34
           0(  0 %)     23 6_35
           0(  0 %)     24 6_36
           2( 20 %)     25 6_37
           0(  0 %)     26 6_38
           0(  0 %)     27 6_39
           2( 20 %)     28 6_40
           0(  0 %)     29 6_41
           1( 10 %)     30 6_42
           1( 10 %)     31 6_43
           0(  0 %)     32 6_44
           1( 10 %)     33 6_45
           1( 10 %)     34 6_46
           0(  0 %)     35 6_47
           0(  0 %)     36 6_48
           2( 20 %)     37 6_49
           0(  0 %)     38 6_50
           0(  0 %)     39 6_51
           0(  0 %)     40 6_52
           1( 10 %)     41 6_53
           1( 10 %)     42 6_54
           1( 10 %)     43 6_55
           1( 10 %)     44 6_56
           1( 10 %)     45 6_57
           1( 10 %)     46 6_58
           1( 10 %)     47 6_59
           1( 10 %)     48 6_60
           5( 50 %)     49 6_61
           6( 60 %)     50 6_62
           0(  0 %)     51 6_63
           0(  0 %)     52 6_64
           1( 10 %)     53 6_65
           0(  0 %)     54 6_66
           0(  0 %)     55 6_67
           0(  0 %)     56 6_68
           1( 10 %)     57 6_69
           6( 60 %)     58 6_70
           2( 20 %)     59 6_71
           0(  0 %)     60 6_72
           3( 30 %)     61 6_73
           1( 10 %)     62 6_74
           1( 10 %)     63 6_75
           0(  0 %)     64 6_76
           0(  0 %)     65 6_77
           0(  0 %)     66 6_78
           3( 30 %)     67 7_0
           0(  0 %)     68 7_1
           1( 10 %)     69 8_0
          10(100 %)     70 8_1
           3( 30 %)     71 9_0
           4( 40 %)     72 9_1
           0(  0 %)     73 10_0
