           0(  0 %)      1 0_168
           2( 20 %)      2 0_336
           1( 10 %)      3 0_504
           1( 10 %)      4 0_672
           0(  0 %)      5 0_840
           0(  0 %)      6 1_0
           1( 10 %)      7 2_0
           0(  0 %)      8 2_1
          10(100 %)      9 2_2
           0(  0 %)     10 3_48
           0(  0 %)     11 3_72
           2( 20 %)     12 3_96
           0(  0 %)     13 3_120
           0(  0 %)     14 3_144
           1( 10 %)     15 4_0
           0(  0 %)     16 5_0
           1( 10 %)     17 5_1
           0(  0 %)     18 5_2
           0(  0 %)     19 6_23
           0(  0 %)     20 6_24
           0(  0 %)     21 6_25
           0(  0 %)     22 6_26
           1( 10 %)     23 6_27
           0(  0 %)     24 6_28
           0(  0 %)     25 6_29
           0(  0 %)     26 6_30
           0(  0 %)     27 6_31
           2( 20 %)     28 6_32
           0(  0 %)     29 6_33
           0(  0 %)     30 6_34
           0(  0 %)     31 6_35
           1( 10 %)     32 6_36
           3( 30 %)     33 6_37
           0(  0 %)     34 6_38
           0(  0 %)     35 6_39
           0(  0 %)     36 6_40
           0(  0 %)     37 6_41
           0(  0 %)     38 6_42
           0(  0 %)     39 6_43
           0(  0 %)     40 6_44
           0(  0 %)     41 6_45
           0(  0 %)     42 6_46
           0(  0 %)     43 6_47
           0(  0 %)     44 6_48
           0(  0 %)     45 6_49
           0(  0 %)     46 6_50
           0(  0 %)     47 6_51
           0(  0 %)     48 6_52
          10(100 %)     49 6_53
           0(  0 %)     50 6_54
           0(  0 %)     51 6_55
           0(  0 %)     52 6_56
           0(  0 %)     53 6_57
           1( 10 %)     54 6_58
           1( 10 %)     55 6_59
           2( 20 %)     56 6_60
           0(  0 %)     57 6_61
           2( 20 %)     58 6_62
           0(  0 %)     59 6_63
           1( 10 %)     60 6_64
           0(  0 %)     61 6_65
           1( 10 %)     62 6_66
           0(  0 %)     63 6_67
           0(  0 %)     64 6_68
           0(  0 %)     65 6_69
           0(  0 %)     66 6_70
           1( 10 %)     67 7_0
           0(  0 %)     68 7_1
           0(  0 %)     69 8_0
           1( 10 %)     70 8_1
           0(  0 %)     71 9_0
           0(  0 %)     72 9_1
           0(  0 %)     73 10_0
