0_168,0_336,0_504,0_672,0_840,1_0,2_0,2_1,2_2,3_48,3_72,3_96,3_120,3_144,4_0,5_0,5_1,5_2,6_12,6_13,6_14,6_15,6_16,6_17,6_18,6_19,6_20,6_21,6_22,6_23,6_24,6_25,6_26,6_27,6_28,6_29,6_30,6_31,6_32,6_33,6_34,6_35,6_36,6_37,6_38,6_39,6_40,6_41,6_42,6_43,6_44,6_45,6_46,6_47,6_48,6_49,6_50,6_51,6_52,6_53,6_54,6_55,6_56,6_57,6_58,6_59,7_0,7_1,8_0,8_1,9_0,9_1,10_0,label
-0.996977124975,-0.989419937411,-1.0,-1.0,-0.992442812436,0.00421037770676,-0.989419937411,-1.0,-0.995767974964,-0.992442812436,-0.996977124975,-1.0,-0.992442812436,-1.0,0.00339316880046,-0.992442812436,-1.0,-0.996372549969,-0.991435187428,-0.996977124975,-0.996977124975,-0.996977124975,-0.974693110364,-0.820507106663,-0.833218683693,-0.993702343697,-0.992442812436,-0.992442812436,-1.0,-1.0,-1.0,-0.971631480531,-0.633863951246,-0.584936006123,-0.423619117747,-0.492583298615,-0.665856045266,-0.745535930551,-0.627256256479,-0.743520680534,-0.743520680534,-0.743520680534,-0.590516698478,-0.740245899257,-0.738986367996,-0.738986367996,-0.832288568301,-1.0,-1.0,-1.0,-1.0,-1.0,-0.993702343697,-0.992442812436,-0.992442812436,-0.987617838838,-0.632100607482,-0.610979237112,-0.455960005038,-0.610979237112,-0.527268851792,-0.752143625319,-0.76805247401,-0.76805247401,-0.798978810809,-0.935977057154,0.781831482468,0.623489801859,1.0,6.12323399574e-17,0.5,0.866025403784,0,-1.0
-0.998992374992,-0.996977124975,-0.992442812436,-1.0,-1.0,0.00284285999222,-0.992442812436,-1.0,-0.997682462481,-1.0,-0.989419937411,-1.0,-1.0,-0.991435187428,0.00473262062277,-0.989419937411,-1.0,-0.996171024968,-0.996977124975,-0.996977124975,-0.996977124975,-0.996977124975,-0.927780415258,-0.849670099697,-0.941693391336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.874376289808,-0.630744189201,-0.57737881856,-0.578502707992,0.0529681338591,-0.596891864397,-0.57414279209,-0.720132153895,-0.850483950665,-0.878871847539,-0.991435187428,-0.992442812436,-1.0,-1.0,-1.0,-0.943592376929,-0.751252264734,-0.816883532113,-0.993702343697,-0.992442812436,-0.992442812436,-1.0,-1.0,-1.0,-0.885266390862,-0.658163215874,-0.581913131098,-0.420596242721,-0.590826736942,-0.584277174387,0.401761406024,-0.790317111217,-0.775997209654,-0.91063141271,-1.0,0.433883739118,-0.900968867902,-0.5,0.866025403784,0.0,1.0,0,-0.992442812436
-0.992442812436,-1.0,-0.998992374992,-0.989419937411,-1.0,0.00439906506953,-0.989419937411,-1.0,-0.996171024968,-0.998992374992,-1.0,-0.992442812436,-0.996977124975,-1.0,0.00284285999222,-0.992442812436,-1.0,-0.997682462481,-1.0,-0.993702343697,-0.992442812436,-0.992442812436,-0.917413504113,-0.78076405104,-0.881352155252,-1.0,-1.0,-1.0,-0.993702343697,-0.992442812436,-0.991435187428,-0.927954811894,-0.710230300447,-0.699340199393,-0.143635007218,-0.838547469795,-0.709803997558,-0.749547053181,-0.805257089708,-0.845949638127,-0.890323893308,-0.941867787972,-0.903112979954,-0.941867787972,-0.941867787972,-0.941867787972,-0.912007208394,-0.867148518113,-0.909294371833,-0.998992374992,-0.996977124975,-0.996977124975,-0.996977124975,-0.996977124975,-0.998992374992,-0.980428821951,-0.648300117233,-0.626209876663,-0.616114249174,-0.762820574928,-0.744218267079,-0.795374613663,-0.795374613663,-0.64035538159,-0.78907695736,-0.787817426099,0.974927912182,-0.222520933956,0.5,-0.866025403784,0.866025403784,0.5,0,-1.0
-1.0,-1.0,-0.992442812436,-0.996977124975,-0.998992374992,0.00284285999222,-0.992442812436,-1.0,-0.997682462481,-1.0,-0.992442812436,-1.0,-0.996977124975,-0.992442812436,0.00339316880046,-0.992442812436,-1.0,-0.996372549969,-1.0,-1.0,-1.0,-1.0,-0.897764816448,-0.699747124878,-0.838586224603,-1.0,-1.0,-1.0,-1.0,-0.998992374992,-0.996977124975,-0.940240086036,-0.585381686415,-0.54412719328,-0.398680398787,-0.554707255869,-0.524478505615,-0.64190557391,-0.716314805306,-0.716314805306,-0.710017149003,-0.708757617742,-0.708757617742,-0.716314805306,-0.716314805306,-0.716314805306,-0.741098505033,-1.0,-0.998992374992,-0.990679468672,-0.989419937411,-0.989419937411,-0.996977124975,-0.998992374992,-1.0,-0.977580343561,-0.608712080843,-0.574472207958,-0.568174551655,0.232984217104,-0.693507600787,-0.736079757395,-0.736079757395,-0.700638485462,-0.767296755254,-0.717729355798,0.781831482468,0.623489801859,-0.866025403784,0.5,1.0,6.12323399574e-17,0,-0.992442812436
-0.989419937411,-1.0,-1.0,-0.992442812436,-1.0,0.00454437761721,-0.989419937411,-1.0,-0.996372549969,-1.0,-0.996977124975,-0.992442812436,-1.0,-1.0,0.00296180054741,-0.992442812436,-1.0,-0.997883987482,-1.0,-0.993702343697,-0.991435187428,-0.989419937411,-0.940530747096,-0.757026731129,-0.8902851385,-0.998992374992,-1.0,-1.0,-0.993702343697,-0.992442812436,-0.992442812436,-0.992035886952,-0.702537471055,-0.554707255869,-0.670719773672,-0.732591824673,-0.731061009757,-0.672812533305,-0.602569443772,-0.756581050837,-0.783767548662,-0.870248902754,-0.870248902754,-0.870248902754,-0.872264152771,-0.87327177778,-0.822638621104,-0.689244571905,-0.803261217095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.948281708699,-0.589586583085,-0.508782808367,-0.567341323283,-0.638146357532,0.264879424104,-0.500140486179,-0.745845969016,-0.7641382384,-0.819635123483,-0.992442812436,-0.974927912182,-0.222520933956,-0.866025403784,0.5,1.0,6.12323399574e-17,1,-0.998992374992
-1.0,-0.992442812436,-0.998992374992,-0.996977124975,-0.992442812436,0.0031959349284,-0.992442812436,-1.0,-0.996171024968,-0.991435187428,-1.0,-1.0,-0.989419937411,-1.0,0.00473262062277,-0.989419937411,-1.0,-0.996171024968,-0.710695358143,-0.87327177778,-0.87327177778,-0.87327177778,-0.882689196128,-1.0,-1.0,-0.993702343697,-0.992442812436,-0.992442812436,-1.0,-1.0,-0.998992374992,-0.94427058607,-0.509538527124,-0.496206873165,-0.434547973608,-0.590322924438,-0.540174202862,-0.547731390426,-0.604177768304,-0.647350624437,-0.849611967485,-0.735575944891,-0.551994419308,-0.700715995078,-0.699456463818,-0.699456463818,-0.703351322023,-1.0,-1.0,-0.998992374992,-0.996977124975,-0.996977124975,-0.990679468672,-0.989419937411,-0.991435187428,-0.940705143732,-0.592745099939,-0.538197707653,0.243254241229,-0.618652689099,-0.614002112137,-0.661186090899,-0.70869948553,-0.66147675196,-0.862885489231,-1.0,0.0,1.0,0.5,-0.866025403784,0.866025403784,0.5,0,-1.0
-1.0,-1.0,-0.992442812436,-1.0,-0.996977124975,0.00296180054741,-0.992442812436,-1.0,-0.997883987482,-1.0,-0.992442812436,-0.996977124975,-1.0,-0.992442812436,0.00339316880046,-0.992442812436,-1.0,-0.996372549969,-1.0,-1.0,-1.0,-1.0,-0.950878280837,-0.768517531706,-0.84901126796,-0.998992374992,-0.996977124975,-0.996977124975,-0.996977124975,-0.996977124975,-0.998992374992,-0.988392934998,-0.657543138946,-0.595981126408,-0.612723203472,-0.737629949716,-0.591911871567,-0.603538313972,-0.676261711219,-0.610126631335,-0.78917384438,-0.836648484203,-0.836648484203,-0.844205671766,-0.843198046758,-0.841182796741,-0.744450795927,-0.739141387228,-0.906232742,-0.992694718689,-0.992442812436,-0.992442812436,-1.0,-1.0,-1.0,-0.954114307306,-0.632100607482,-0.350856965692,0.187466695087,-0.518083962292,-0.461540697393,0.318826116865,-0.606735585634,-0.774602036565,-0.859726972378,-0.996977124975,-0.974927912182,-0.222520933956,-2.44929359829e-16,1.0,0.0,1.0,1,-0.991435187428
-0.992442812436,-0.998992374992,-0.996977124975,-0.992442812436,-1.0,0.0031959349284,-0.992442812436,-1.0,-0.996171024968,-0.996977124975,-1.0,-0.992442812436,-1.0,-0.996977124975,0.00277051072409,-0.992442812436,-1.0,-0.997279412477,-0.996977124975,-0.992694718689,-0.992442812436,-0.992442812436,-0.875693953281,-0.643494521039,-0.898675554436,-1.0,-1.0,-1.0,-0.993702343697,-0.992442812436,-0.992442812436,-1.0,-0.722786858245,-0.583928381115,-0.475802466744,-0.719279548119,-0.607433172178,-0.494230377956,-0.584180287367,-0.748287521921,-0.812601125827,-0.795762161743,-0.87327177778,-0.87327177778,-0.87327177778,-0.87327177778,-0.806516620968,-0.711334812475,-0.891757821205,-1.0,-1.0,-1.0,-0.998992374992,-0.996977124975,-0.996977124975,-0.843043027526,-0.595206030248,-0.576371193551,-0.59811264085,-0.585517328244,-0.379147975546,-0.476810091752,-0.700037785938,-0.833741873601,-0.842287308769,-0.992442812436,-0.974927912182,-0.222520933956,0.5,0.866025403784,0.0,1.0,1,-1.0
-1.0,-0.991435187428,-0.996977124975,-1.0,-0.992442812436,0.00364141792983,-0.991435187428,-1.0,-0.996171024968,-0.989419937411,-1.0,-1.0,-0.992442812436,-0.996977124975,0.00421037770676,-0.989419937411,-1.0,-0.995767974964,-0.989419937411,-0.955935783283,-0.765145863409,-0.765145863409,-0.820933409551,-1.0,-1.0,-0.993702343697,-0.992442812436,-0.992442812436,-1.0,-1.0,-1.0,-0.983412942168,-0.787565519847,-0.779252613527,-0.62938777092,-0.931287725383,-0.859203782469,-0.917917316617,-0.940860162964,-0.238933080135,-0.689186439693,-0.844205671766,-0.747551180568,-0.749547053181,-0.748287521921,-0.748287521921,-0.838198676523,-1.0,-1.0,-1.0,-1.0,-1.0,-0.992694718689,-0.989419937411,-0.989419937411,-0.973084785831,-0.72141106256,-0.661825545232,-0.585924253728,-0.787236103979,-0.777934950055,-0.818143063374,-0.700619108058,-0.816883532113,-0.859668840165,-0.941867787972,0.0,1.0,-0.866025403784,-0.5,1.0,6.12323399574e-17,0,-1.0
-0.996977124975,-0.992442812436,-1.0,-1.0,-0.992442812436,0.00339316880046,-0.992442812436,-1.0,-0.996372549969,-0.992442812436,-0.998992374992,-0.998992374992,-0.992442812436,-1.0,0.00339316880046,-0.992442812436,-1.0,-0.996574074971,-0.992442812436,-1.0,-1.0,-0.998992374992,-0.961070795346,-0.787604274655,-0.940240086036,-0.990679468672,-0.991435187428,-0.992442812436,-1.0,-1.0,-1.0,-0.84833305882,-0.580750486857,-0.486111245676,-0.45220078866,-0.56133432804,-0.537945801401,-0.56220631122,-0.817193570577,-0.844205671766,-0.787429878019,-0.996977124975,-0.996977124975,-0.990679468672,-0.989419937411,-0.991435187428,-0.953532985186,-0.69676300466,-0.969151172817,-1.0,-1.0,-1.0,-0.993702343697,-0.992442812436,-0.992442812436,-0.967969151173,-0.64113047775,-0.594237160048,0.50657378431,-0.53160939029,-0.923110460892,-0.990679468672,-0.989419937411,-0.978762365206,-0.903132357358,-0.87327177778,0.974927912182,-0.222520933956,-0.866025403784,0.5,1.0,6.12323399574e-17,0,-0.996977124975
